x,y,area,height
3008,3838,5.765,24.42396078431375
497,3850,20.08,22.42396078431375
6724,3835,18.96,22.42396078431375
6022,3869,17.175,29.42396078431375
3598,3838,12.24,22.42396078431375
1482,3838,13,17.42396078431375
6685,3809,0.2,11.42396078431375
6650,3837,14.61,12.42396078431375
6561,3842,26.855,12.42396078431375
3598,3805,0.09,1.423960784313749
1401,3832,14.895,18.42396078431375
743,3829,13.92,19.42396078431375
6964,3815,5.56,20.42396078431375
6700,3798,0.04,8.423960784313749
6434,3803,0.555,5.423960784313749
6034,3798,0.06,2.576039215686251
362,3798,0.2,11.42396078431375
6815,3792,0.325,12.42396078431375
6020,3791,0.04,1.576039215686251
1295,3819,14.335,12.42396078431375
6824,3784,0.04,11.42396078431375
6303,3795,3.745,12.42396078431375
6111,3784,0.2,2.576039215686251
3664,3784,0.06,1.576039215686251
3628,3784,0.04,1.576039215686251
5710,3801,10.49,18.42396078431375
3657,3776,0.06,1.576039215686251
6027,3765,0.18,1.576039215686251
1558,3773,20.02,12.42396078431375
6619,3740,0.06,11.42396078431375
6147,3763,17.37,19.42396078431375
5800,3740,0.04,4.423960784313749
5638,3759,10.885,20.42396078431375
4996,3740,0.04,1.576039215686251
3584,3771,11.27,28.42396078431375
6784,3732,0.3,11.42396078431375
5463,3768,30.925,31.42396078431375
3920,3732,0.09,1.576039215686251
3900,3737,0.485,1.576039215686251
3408,3732,0.09,4.423960784313749
812,3770,27.045,31.42396078431375
5573,3755,24.22,23.42396078431375
4952,3725,0.04,1.576039215686251
3950,3725,0.04,1.576039215686251
3613,3735,3.04,13.42396078431375
5959,3737,18.21,22.42396078431375
4952,3710,0.06,1.576039215686251
3291,3710,0.09,7.423960784313749
2926,3717,0.34,13.42396078431375
1624,3710,0.06,8.423960784313749
972,3724,7.695,20.42396078431375
6817,3703,0.04,10.42396078431375
5998,3703,0.04,1.576039215686251
3928,3703,0.04,0.5760392156862508
3455,3740,28.445,30.42396078431375
1631,3703,0.04,6.423960784313749
130,3735,25.205,31.42396078431375
6409,3716,8.975,19.42396078431375
589,3708,6.62,21.42396078431375
6842,3710,8.369999999999999,20.42396078431375
372,3731,39.68,16.42396078431375
5839,3704,11.36,20.42396078431375
5573,3681,0.06,2.576039215686251
1456,3693,4.76,17.42396078431375
526,3702,6.71,13.42396078431375
6144,3674,0.04,1.576039215686251
5588,3677,0.18,2.576039215686251
5391,3674,0.04,1.576039215686251
1839,3674,0.18,1.576039215686251
1377,3688,5.675,10.42396078431375
6607,3689,14.005,19.42396078431375
6283,3682,8.960000000000001,15.42396078431375
5983,3666,0.06,1.576039215686251
5780,3692,22.445,15.42396078431375
4886,3666,0.06,1.576039215686251
1382,3666,0.09,9.423960784313749
903,3673,1.7,12.42396078431375
5976,3659,0.04,1.576039215686251
3470,3675,4.455,16.42396078431375
1305,3712,48.815,25.42396078431375
53,3712,42.41,20.42396078431375
6336,3695,41.42,41.42396078431375
5343,3677,16.63,25.42396078431375
856,3655,0.18,8.423960784313749
5939,3670,13.07,8.423960784313749
2779,3652,0.78,4.423960784313749
3212,3678,47.375,8.423960784313749
261,3656,9.74,22.42396078431375
5876,3641,5.275,14.42396078431375
3965,3636,2.405,11.42396078431375
184,3654,7.985,20.42396078431375
6673,3645,9.734999999999999,19.42396078431375
6118,3615,0.27,2.576039215686251
5678,3627,5.17,4.423960784313749
1084,3630,5.525,16.42396078431375
6020,3608,0.04,0.5760392156862508
3331,3612,0.9,7.423960784313749
2991,3644,56.235,35.42396078431375
1742,3627,7.41,18.42396078431375
1003,3636,13.635,17.42396078431375
350,3617,2.485,15.42396078431375
6893,3610,1.145,14.42396078431375
6190,3622,16.21,10.42396078431375
4125,3604,0.18,2.576039215686251
3798,3615,5.66,10.42396078431375
3383,3613,4.79,11.42396078431375
1200,3626,8.93,22.42396078431375
6118,3593,0.27,2.576039215686251
3176,3611,5.04,18.42396078431375
1665,3632,40.73,25.42396078431375
1355,3628,24.54,18.42396078431375
5259,3586,0.04,4.423960784313749
4162,3586,0.04,1.576039215686251
3635,3620,30.795,27.42396078431375
3555,3605,5.765,19.42396078431375
3450,3619,30.14,22.42396078431375
968,3596,4.305,11.42396078431375
453,3635,38.28,20.42396078431375
5767,3582,0.8100000000000001,1.423960784313749
5683,3579,0.04,2.576039215686251
5308,3592,7.665,10.42396078431375
828,3625,20.04,15.42396078431375
6151,3575,0.3,1.576039215686251
4162,3571,0.08,1.576039215686251
6782,3604,29.03,26.42396078431375
1087,3577,4.23,16.42396078431375
4090,3593,26.165,22.42396078431375
5971,3578,19.46,17.42396078431375
4021,3585,30.08,27.42396078431375
3794,3562,6.955,7.423960784313749
3686,3549,0.09,1.576039215686251
766,3556,0.49,15.42396078431375
6531,3564,14.11,23.42396078431375
6457,3571,17.575,26.42396078431375
4674,3546,0.2,1.576039215686251
878,3561,6.175,29.42396078431375
275,3562,6.87,24.42396078431375
5490,3551,9.81,14.42396078431375
3669,3540,1.215,2.423960784313749
1823,3544,2.705,11.42396078431375
967,3547,5.495,23.42396078431375
753,3535,0.34,16.42396078431375
6122,3527,0.06,1.576039215686251
5544,3527,0.06,1.576039215686251
3814,3531,0.9,2.423960784313749
910,3531,0.9,21.42396078431375
768,3527,0.06,18.42396078431375
735,3527,0.3,19.42396078431375
4807,3532,2.77,9.423960784313749
3306,3547,20.09,24.42396078431375
6784,3516,0.9,9.423960784313749
6090,3719,284.115,2.576039215686251
5899,3516,0.9,0.4239607843137492
5339,3556,28.735,20.42396078431375
3594,3544,11.54,11.42396078431375
742,3509,0.8100000000000001,18.42396078431375
6217,3531,33.28,22.42396078431375
6111,3498,0.3,1.576039215686251
321,3518,7.98,26.42396078431375
6000,3497,1.695,14.42396078431375
5738,3495,1,1.576039215686251
863,3490,0.05,16.42396078431375
6851,3497,5.98,16.42396078431375
6810,3496,2.485,16.42396078431375
6582,3506,8.08,14.42396078431375
6137,3484,0.04,1.576039215686251
5922,3486,0.415,2.423960784313749
5769,3500,7.985,14.42396078431375
3964,3501,7.91,9.423960784313749
1555,3506,16.5,2.576039215686251
993,3501,5.79,19.42396078431375
870,3484,0.07000000000000001,16.42396078431375
525,3496,2.55,19.42396078431375
6043,3485,2.42,11.42396078431375
5851,3538,35.755,11.42396078431375
5573,3476,0.11,1.576039215686251
6666,3513,33.805,20.42396078431375
3759,3498,20.995,16.42396078431375
5573,3462,0.06,1.576039215686251
5172,3526,64.80500000000001,2.576039215686251
4220,3462,0.06,0.5760392156862508
3488,3506,40.355,28.42396078431375
1192,3496,29.56,39.42396078431375
6494,3469,4.255,12.42396078431375
5829,3454,0.09,1.576039215686251
3852,3488,24.71,31.42396078431375
1318,3508,59.16,16.42396078431375
852,3468,6.155,23.42396078431375
5001,3482,21.33,12.42396078431375
4763,3476,19.58,27.42396078431375
3561,3479,11.88,6.423960784313749
3218,3504,47.11,24.42396078431375
2805,3469,11.435,15.42396078431375
5573,3440,0.06,0.4239607843137492
5252,3440,0.04,7.423960784313749
1989,3443,0.27,1.576039215686251
629,3451,1.9,26.42396078431375
109,3463,18.58,29.42396078431375
5807,3439,0.08,2.576039215686251
414,3456,9.77,25.42396078431375
5829,3425,0.06,2.576039215686251
5067,3446,9.539999999999999,17.42396078431375
3669,3468,24.715,6.423960784313749
6603,3440,10.655,23.42396078431375
6119,3438,18.635,6.423960784313749
6646,3418,4.365,10.42396078431375
6181,3443,14.5,13.42396078431375
5038,3412,3.595,20.42396078431375
2783,3396,0.2,9.423960784313749
6388,3408,13.39,28.42396078431375
5105,3406,3.255,10.42396078431375
3752,3389,0.04,1.576039215686251
6013,3414,24.315,16.42396078431375
4873,3422,43.45,26.42396078431375
4224,3381,0.3,2.576039215686251
3708,3396,4.965,11.42396078431375
5893,3383,2.845,7.423960784313749
5825,3374,0.21,2.576039215686251
3336,3399,11.99,21.42396078431375
6042,3367,0.04,2.423960784313749
3618,3390,26.965,7.423960784313749
6862,3393,15.415,28.42396078431375
3925,3361,0.445,4.423960784313749
3362,3363,1.43,11.42396078431375
39,3377,12.155,29.42396078431375
6948,3372,15.52,14.42396078431375
6210,3352,0.04,5.423960784313749
6061,3365,2.765,7.423960784313749
3778,3375,9.164999999999999,10.42396078431375
6515,3346,0.365,7.423960784313749
5968,3348,0.27,2.423960784313749
5332,3345,0.04,6.423960784313749
4527,3345,0.06,1.576039215686251
258,3364,10.16,26.42396078431375
160,3357,7.35,24.42396078431375
4934,3356,9.455,27.42396078431375
2754,3370,28.315,15.42396078431375
923,3339,0.515,16.42396078431375
4520,3330,0.04,1.576039215686251
5053,3352,15.815,21.42396078431375
